	Brahui	Balochi	Hazara	Makrani	Sindhi	Pathan	Kalash	Burusho	MbutiPygmy	BiakaPygmy	French	Papuan	Druze	Bedouin	Melanesian	Sardinian	Palestinian	Colombian	Cambodian	Japanese	Han	Orcadian	Surui	Maya	Russian	Mandenka	Yoruba	Yakut	BantuSouthAfrica	Karitiana	Pima	Tujia	Italian	Tuscan	Yi	Miao	Oroqen	Daur	Mongola	Hezhen	Xibo	Mozabite	Han-NChina	Uygur	Dai	Lahu	She	Naxi	Tu	Basque	Adygei	BantuKenya
Colombian	0.0299855	0.0275065	0.0204341	0.0288547	0.0268649	0.0276965	0.0322407	0.024972	0.0694659	0.0607388	0.0324902	0.0492181	0.0341064	0.0329309	0.0424976	0.0365725	0.0323388	0	0.02248	0.022163	0.0226782	0.031757	0.0153753	0.00468541	0.0285716	0.0497886	0.0503291	0.0193995	0.0513917	0.0148924	0.0101236	0.0213285	0.0333225	0.0339537	0.0195471	0.0232179	0.0221973	0.020338	0.0184383	0.0197516	0.0203747	0.0354656	0.0211137	0.0196581	0.0234648	0.0246256	0.0233294	0.0214815	0.0191364	0.0329216	0.0304194	0.0473993
Cambodian	0.0164763	0.0148589	0.00696002	0.0154255	0.0130272	0.0136154	0.0186319	0.0121349	0.057824	0.0463439	0.0193713	0.0296	0.0200637	0.0181628	0.0228407	0.021822	0.018508	0.02248	0	0.00426477	0.00196035	0.0198112	0.0408889	0.0174525	0.0162659	0.0367369	0.0363633	0.00631684	0.0357444	0.0300273	0.02543	0.00222927	0.0200085	0.0203563	0.00296833	0.00290765	0.00581807	0.00565651	0.00281232	0.00458472	0.00378353	0.0209271	0.0037747	0.00515569	0.00109053	0.00278413	0.0045806	0.0039958	0.0022316	0.0205378	0.0174732	0.0324063
Japanese	0.0201128	0.0179443	0.00682808	0.0188284	0.0166896	0.0172926	0.022454	0.0153856	0.0621733	0.0509847	0.023065	0.0334801	0.0237018	0.0221531	0.0258129	0.0251202	0.0219605	0.022163	0.00426477	0	0.0012873	0.0231957	0.0395731	0.0172011	0.0192743	0.0410154	0.0404909	0.00541117	0.0395494	0.0293261	0.0246628	0.00156791	0.0236615	0.0253671	0.00230948	0.00290176	0.00376395	0.00279201	0.00114224	0.0022054	0.00166991	0.0251649	0.001737	0.00565279	0.00326702	0.00589468	0.0030239	0.00291013	0.00158858	0.0235247	0.0204063	0.0373912
Han	0.0199827	0.0180951	0.00689795	0.0188554	0.0167886	0.0171594	0.0219303	0.0152556	0.061148	0.0497536	0.0229734	0.0318028	0.0236198	0.0220627	0.0245972	0.0255134	0.0222187	0.0226782	0.00196035	0.0012873	0	0.0237113	0.0399107	0.0177883	0.0194023	0.0404591	0.0398355	0.0052733	0.03971	0.0294509	0.0264316	-0.000117225	0.0235597	0.025167	0.000859874	0.00122527	0.00334362	0.00249922	0.000680222	0.00218142	0.00185888	0.0251005	0.00129964	0.00581656	0.000840533	0.00373084	0.00177117	0.00259954	0.00102818	0.0236713	0.0213913	0.0368126
Orcadian	0.00511101	0.00427359	0.00729716	0.00485013	0.00455446	0.00402424	0.010343	0.00556645	0.0565626	0.0471715	0.000727686	0.0411113	0.00376671	0.00526568	0.0350853	0.00248232	0.00412418	0.031757	0.0198112	0.0231957	0.0237113	0	0.0499728	0.0262241	0.00127361	0.0351683	0.0357541	0.0185111	0.0376333	0.0397101	0.0326241	0.0225582	0.000644269	0.000943713	0.0228111	0.0252828	0.0232472	0.024395	0.0193005	0.0224109	0.0221145	0.00753359	0.0228294	0.0069147	0.0237652	0.0242554	0.0256462	0.0211466	0.0202486	0.00271691	0.00312048	0.0328301
Surui	0.0482819	0.0457944	0.0396317	0.0480689	0.0455768	0.0455291	0.0508424	0.0439774	0.0866209	0.077909	0.0502278	0.0662961	0.0526754	0.0517131	0.0582064	0.0552257	0.0513161	0.0153753	0.0408889	0.0395731	0.0399107	0.0499728	0	0.0165426	0.0467192	0.0685475	0.0664606	0.0374527	0.0708671	0.0241076	0.0241262	0.0402153	0.0509244	0.0518887	0.0378929	0.0426562	0.0399707	0.0388647	0.0387051	0.0389396	0.0380799	0.0538981	0.0391001	0.0377146	0.0416401	0.0400824	0.0407524	0.036322	0.0363623	0.0524709	0.0508238	0.0649988
Maya	0.0248651	0.0226419	0.0157233	0.0236903	0.0212118	0.0218877	0.0266977	0.0206008	0.0639713	0.0551682	0.026431	0.0420772	0.0278906	0.0266107	0.0348746	0.0301363	0.0261262	0.00468541	0.0174525	0.0172011	0.0177883	0.0262241	0.0165426	0	0.0223685	0.0444301	0.0442362	0.0147786	0.0451618	0.0123452	0.00837972	0.0176725	0.0270009	0.0280298	0.0158224	0.0189797	0.0169624	0.017497	0.0149029	0.0156573	0.0156916	0.0294936	0.0163775	0.0148489	0.0194482	0.0188133	0.0192129	0.0155493	0.0144273	0.0275903	0.0259854	0.0414305
Russian	0.00423828	0.00336578	0.00497066	0.00393483	0.00355163	0.00281718	0.00956987	0.00455415	0.0549425	0.04438	0.000954342	0.0387419	0.00370631	0.00464779	0.0326502	0.00318147	0.00349179	0.0285716	0.0162659	0.0192743	0.0194023	0.00127361	0.0467192	0.0223685	0	0.0330377	0.0331574	0.0144149	0.0348467	0.0365822	0.0294821	0.0183206	0.00199634	0.00162587	0.0188807	0.0212034	0.0179836	0.0193915	0.0153526	0.0183233	0.0172585	0.00689722	0.0190618	0.00450564	0.020282	0.020599	0.0216726	0.0177525	0.0161261	0.00233067	0.00282991	0.0299988
Mandenka	0.0316213	0.0309928	0.0308878	0.029122	0.0302505	0.0315634	0.0364234	0.0315474	0.0247442	0.012656	0.0351065	0.0517301	0.0328168	0.0283496	0.0451493	0.0351476	0.0285471	0.0497886	0.0367369	0.0410154	0.0404591	0.0351683	0.0685475	0.0444301	0.0330377	0	0.0020278	0.039357	0.00378958	0.0590881	0.0509733	0.0403367	0.0347294	0.0336766	0.0402585	0.0415125	0.0404089	0.0425958	0.0370089	0.0408801	0.0402633	0.0233271	0.0417977	0.0327872	0.0416787	0.0398755	0.0438437	0.039603	0.0383361	0.0352207	0.0338481	0.00329141
Yoruba	0.031921	0.0307344	0.031021	0.0293536	0.030453	0.0317202	0.0367876	0.0321519	0.0228777	0.0111641	0.0349123	0.0523545	0.0326142	0.0287029	0.0457407	0.0347395	0.0286396	0.0503291	0.0363633	0.0404909	0.0398355	0.0357541	0.0664606	0.0442362	0.0331574	0.0020278	0	0.039517	0.0018494	0.0588179	0.0510906	0.0400376	0.0345806	0.0343082	0.0390493	0.040793	0.0398408	0.0413917	0.0371349	0.0402159	0.0407089	0.0232087	0.0407673	0.0324767	0.0411042	0.0393656	0.0424512	0.0380919	0.0380604	0.035112	0.0343708	0.00157586
Yakut	0.0167222	0.0141868	0.00468223	0.0150478	0.0128495	0.0136746	0.0187537	0.0119335	0.0605156	0.0500145	0.0186682	0.0333979	0.0193221	0.018505	0.0273695	0.021155	0.0181212	0.0193995	0.00631684	0.00541117	0.0052733	0.0185111	0.0374527	0.0147786	0.0144149	0.039357	0.039517	0	0.0392074	0.0280751	0.0234611	0.00501989	0.019225	0.0203737	0.00469718	0.00634016	0.00345401	0.00381447	0.00288167	0.00348297	0.00323897	0.0214548	0.00488915	0.00440957	0.00680034	0.00840574	0.00737851	0.00553401	0.00335696	0.0194659	0.0166708	0.036486
BantuSouthAfrica	0.0328268	0.0315312	0.0321928	0.0294514	0.0312587	0.0317431	0.036891	0.0322136	0.0171831	0.00763379	0.0362982	0.0517019	0.0337572	0.0295428	0.0443654	0.0368586	0.030267	0.0513917	0.0357444	0.0395494	0.03971	0.0376333	0.0708671	0.0451618	0.0348467	0.00378958	0.0018494	0.0392074	0	0.0624542	0.0521464	0.0407935	0.0359424	0.0357301	0.0386251	0.0407958	0.0397625	0.0401056	0.0369205	0.0402328	0.0406144	0.0249679	0.0410754	0.0326907	0.0402006	0.039428	0.0424966	0.0396837	0.0385293	0.037703	0.0348167	0.000646681
Karitiana	0.0366257	0.0355501	0.0286853	0.0379352	0.0339245	0.0342847	0.041207	0.0325061	0.0799457	0.0696409	0.0399586	0.0550953	0.0408964	0.0396545	0.048014	0.0435234	0.0395569	0.0148924	0.0300273	0.0293261	0.0294509	0.0397101	0.0241076	0.0123452	0.0365822	0.0590881	0.0588179	0.0280751	0.0624542	0	0.0191251	0.0297183	0.0409263	0.0416115	0.0282221	0.031061	0.0295013	0.0305342	0.0270406	0.0274069	0.0284593	0.0425766	0.0280685	0.0262897	0.031957	0.0319159	0.0305359	0.0257673	0.0263996	0.0405535	0.0383349	0.0562169
Pima	0.0325225	0.0299537	0.0235682	0.032174	0.0289338	0.0295523	0.034031	0.0282854	0.0706632	0.0609052	0.0346545	0.0528353	0.0363858	0.0346216	0.0445502	0.0381032	0.0342051	0.0101236	0.02543	0.0246628	0.0264316	0.0326241	0.0241262	0.00837972	0.0294821	0.0509733	0.0510906	0.0234611	0.0521464	0.0191251	0	0.0257117	0.0352869	0.035933	0.0238298	0.0283656	0.0265687	0.0252723	0.0224805	0.0232755	0.023334	0.0369655	0.0250085	0.0229552	0.0278156	0.0265264	0.0272683	0.0234261	0.0221532	0.0350962	0.0328934	0.0488016
Tujia	0.0185414	0.0173111	0.00597358	0.0181269	0.0156499	0.0157599	0.0204161	0.0142728	0.0612549	0.0500807	0.021934	0.0318222	0.022871	0.0215945	0.0244942	0.0249864	0.0216312	0.0213285	0.00222927	0.00156791	-0.000117225	0.0225582	0.0402153	0.0176725	0.0183206	0.0403367	0.0400376	0.00501989	0.0407935	0.0297183	0.0257117	0	0.0229401	0.0240976	0.00130106	0.000260438	0.00336815	0.00208919	0.000222529	0.00156623	0.000734213	0.0245507	0.000931762	0.0052684	0.00122881	0.00287968	0.0015496	0.00114674	0.000337324	0.0230106	0.0201745	0.0375592
Italian	0.00391461	0.00337726	0.00733368	0.00337207	0.00395434	0.003343	0.0104448	0.00524806	0.056604	0.0468879	5.17663e-05	0.0411024	0.00177784	0.00348936	0.0343997	0.00101064	0.00210224	0.0333225	0.0200085	0.0236615	0.0235597	0.000644269	0.0509244	0.0270009	0.00199634	0.0347294	0.0345806	0.019225	0.0359424	0.0409263	0.0352869	0.0229401	0	-0.0002923	0.0233766	0.025099	0.0230847	0.0245409	0.0195017	0.0227175	0.0214259	0.00617676	0.0226687	0.00677726	0.0244417	0.0246893	0.0264782	0.0220631	0.0206332	0.00167139	0.00267147	0.0306106
Tuscan	0.0033535	0.00283462	0.00739076	0.00340082	0.00395193	0.00294621	0.00975382	0.00526393	0.0556957	0.0464984	0.000639056	0.0414956	0.00138235	0.00233943	0.035511	0.00118402	0.00153776	0.0339537	0.0203563	0.0253671	0.025167	0.000943713	0.0518887	0.0280298	0.00162587	0.0336766	0.0343082	0.0203737	0.0357301	0.0416115	0.035933	0.0240976	-0.0002923	0	0.0236017	0.0274823	0.0241335	0.024619	0.0206403	0.0237912	0.0228757	0.00559877	0.0244421	0.00700494	0.0265194	0.0257053	0.0277757	0.0228787	0.020933	0.00150776	0.00210052	0.0311406
Yi	0.019112	0.0170567	0.00642339	0.0177267	0.0158421	0.0158638	0.0211889	0.014496	0.0592826	0.0489031	0.0223376	0.0312692	0.0225362	0.0209854	0.0240694	0.024913	0.0212685	0.0195471	0.00296833	0.00230948	0.000859874	0.0228111	0.0378929	0.0158224	0.0188807	0.0402585	0.0390493	0.00469718	0.0386251	0.0282221	0.0238298	0.00130106	0.0233766	0.0236017	0	0.00175174	0.00301087	0.00232103	0.000663989	0.00172415	0.00165495	0.0239897	0.00152904	0.004866	0.00261483	0.00425656	0.00303883	0.00140404	0.000324369	0.0228186	0.0196842	0.0356391
Miao	0.0216983	0.0198801	0.0084872	0.0201015	0.0178593	0.0184933	0.0237048	0.0167289	0.0633472	0.0516986	0.0241137	0.0331942	0.0251005	0.0234584	0.0261299	0.0269681	0.0236113	0.0232179	0.00290765	0.00290176	0.00122527	0.0252828	0.0426562	0.0189797	0.0212034	0.0415125	0.040793	0.00634016	0.0407958	0.031061	0.0283656	0.000260438	0.025099	0.0274823	0.00175174	0	0.00425376	0.00370083	0.00127914	0.0030495	0.00263373	0.0272287	0.00172227	0.00725127	0.00163255	0.00354682	0.00237615	0.00319375	0.00208477	0.025835	0.022199	0.0383847
Oroqen	0.0202676	0.0184757	0.00644002	0.0191339	0.0165942	0.017147	0.0224576	0.0151856	0.0608959	0.0501463	0.022302	0.0343739	0.0227501	0.0216741	0.0265414	0.0247686	0.0215739	0.0221973	0.00581807	0.00376395	0.00334362	0.0232472	0.0399707	0.0169624	0.0179836	0.0404089	0.0398408	0.00345401	0.0397625	0.0295013	0.0265687	0.00336815	0.0230847	0.0241335	0.00301087	0.00425376	0	0.00204852	0.00230997	0.00179778	0.00254243	0.0250371	0.00386649	0.00581996	0.00523727	0.00861862	0.00503912	0.00384259	0.00328495	0.0230505	0.0201588	0.0368618
Daur	0.0212423	0.0181008	0.00645647	0.0197547	0.0179825	0.0183788	0.0234947	0.0163102	0.0619166	0.0518849	0.0237122	0.0329102	0.0246535	0.0233654	0.025932	0.0261218	0.0237107	0.020338	0.00565651	0.00279201	0.00249922	0.024395	0.0388647	0.017497	0.0193915	0.0425958	0.0413917	0.00381447	0.0401056	0.0305342	0.0252723	0.00208919	0.0245409	0.024619	0.00232103	0.00370083	0.00204852	0	0.00114063	0.00122984	0.00248653	0.0262626	0.00327663	0.00537793	0.00443586	0.00673031	0.0042603	0.00403405	0.00235793	0.0240689	0.0217363	0.038844
Mongola	0.0166646	0.0145922	0.00411924	0.0151987	0.0130375	0.0139409	0.0182435	0.0123421	0.0598659	0.0483035	0.0183639	0.0293822	0.0192393	0.0181335	0.0239002	0.0210062	0.0179325	0.0184383	0.00281232	0.00114224	0.000680222	0.0193005	0.0387051	0.0149029	0.0153526	0.0370089	0.0371349	0.00288167	0.0369205	0.0270406	0.0224805	0.000222529	0.0195017	0.0206403	0.000663989	0.00127914	0.00230997	0.00114063	0	0.000958784	2.9935e-05	0.0211155	0.000675727	0.00347846	0.00241361	0.00441284	0.00266063	0.00157098	0.000513198	0.0188115	0.0165823	0.0339886
Hezhen	0.0195498	0.0174244	0.0061383	0.0180574	0.0159917	0.0165841	0.0225147	0.0145852	0.0623874	0.0509873	0.0219898	0.0331117	0.0226857	0.021776	0.025611	0.0248275	0.0215948	0.0197516	0.00458472	0.0022054	0.00218142	0.0224109	0.0389396	0.0156573	0.0183233	0.0408801	0.0402159	0.00348297	0.0402328	0.0274069	0.0232755	0.00156623	0.0227175	0.0237912	0.00172415	0.0030495	0.00179778	0.00122984	0.000958784	0	0.000817185	0.023925	0.00156926	0.00475023	0.00367648	0.00605784	0.00363802	0.00302711	0.00168291	0.0227343	0.0199978	0.0378335
Xibo	0.0181416	0.0164836	0.00496589	0.0175827	0.0150624	0.0151925	0.0210612	0.0138378	0.0610473	0.0503507	0.021389	0.0333805	0.0215183	0.0203952	0.0248697	0.0236708	0.0201972	0.0203747	0.00378353	0.00166991	0.00185888	0.0221145	0.0380799	0.0156916	0.0172585	0.0402633	0.0407089	0.00323897	0.0406144	0.0284593	0.023334	0.000734213	0.0214259	0.0228757	0.00165495	0.00263373	0.00254243	0.00248653	2.9935e-05	0.000817185	0	0.023637	0.00119832	0.00408496	0.0035716	0.00641476	0.00383539	0.00286722	0.00134412	0.021868	0.0184889	0.0375012
Mozabite	0.00810596	0.00727876	0.0106051	0.00756116	0.00757738	0.00825596	0.0143779	0.00937029	0.0440467	0.0344699	0.00674031	0.0411369	0.00631207	0.00528065	0.0350951	0.00651619	0.00454226	0.0354656	0.0209271	0.0251649	0.0251005	0.00753359	0.0538981	0.0294936	0.00689722	0.0233271	0.0232087	0.0214548	0.0249679	0.0425766	0.0369655	0.0245507	0.00617676	0.00559877	0.0239897	0.0272287	0.0250371	0.0262626	0.0211155	0.023925	0.023637	0	0.0250176	0.0106173	0.0261467	0.0257279	0.0272335	0.0235776	0.0220514	0.00769371	0.00771499	0.0202769
Han-NChina	0.0201993	0.0178157	0.00624147	0.0186568	0.0162599	0.0168168	0.0208367	0.0140466	0.063687	0.052659	0.0224054	0.0343683	0.0233142	0.0216511	0.0263324	0.0247361	0.0221791	0.0211137	0.0037747	0.001737	0.00129964	0.0228294	0.0391001	0.0163775	0.0190618	0.0417977	0.0407673	0.00488915	0.0410754	0.0280685	0.0250085	0.000931762	0.0226687	0.0244421	0.00152904	0.00172227	0.00386649	0.00327663	0.000675727	0.00156926	0.00119832	0.0250176	0	0.0053399	0.00314712	0.00518305	0.0032305	0.00301191	0.000196423	0.0229881	0.0200039	0.0377918
Uygur	0.00525582	0.00389764	-0.00055405	0.00478608	0.00315167	0.00321538	0.00897998	0.0027211	0.0533642	0.0432609	0.00646719	0.0286698	0.00706691	0.00693492	0.022347	0.00877156	0.00653006	0.0196581	0.00515569	0.00565279	0.00581656	0.0069147	0.0377146	0.0148489	0.00450564	0.0327872	0.0324767	0.00440957	0.0326907	0.0262897	0.0229552	0.0052684	0.00677726	0.00700494	0.004866	0.00725127	0.00581996	0.00537793	0.00347846	0.00475023	0.00408496	0.0106173	0.0053399	0	0.00705188	0.00900139	0.00771106	0.00532378	0.00446509	0.00690951	0.00571951	0.0290028
Dai	0.0206215	0.0181732	0.00887433	0.0189967	0.0174031	0.0174324	0.0229356	0.0164071	0.061966	0.0508021	0.0235473	0.0309028	0.024309	0.0225066	0.0224706	0.0264352	0.0228694	0.0234648	0.00109053	0.00326702	0.000840533	0.0237652	0.0416401	0.0194482	0.020282	0.0416787	0.0411042	0.00680034	0.0402006	0.031957	0.0278156	0.00122881	0.0244417	0.0265194	0.00261483	0.00163255	0.00523727	0.00443586	0.00241361	0.00367648	0.0035716	0.0261467	0.00314712	0.00705188	0	0.00283198	0.00205535	0.00344685	0.00342027	0.0252145	0.0221506	0.037954
Lahu	0.0203522	0.0183503	0.00999193	0.0190446	0.0172523	0.0184348	0.0228905	0.016046	0.0603666	0.0495122	0.0237925	0.0311012	0.0245089	0.0227903	0.0250809	0.0266487	0.0237749	0.0246256	0.00278413	0.00589468	0.00373084	0.0242554	0.0400824	0.0188133	0.020599	0.0398755	0.0393656	0.00840574	0.039428	0.0319159	0.0265264	0.00287968	0.0246893	0.0257053	0.00425656	0.00354682	0.00861862	0.00673031	0.00441284	0.00605784	0.00641476	0.0257279	0.00518305	0.00900139	0.00283198	0	0.00561349	0.00526198	0.00463863	0.0252133	0.0231104	0.0368649
She	0.0224523	0.0199997	0.00866836	0.0209752	0.0191521	0.0198614	0.0242493	0.0172723	0.0644335	0.052606	0.0251284	0.0343394	0.0255215	0.0244449	0.0243926	0.0281151	0.0247067	0.0233294	0.0045806	0.0030239	0.00177117	0.0256462	0.0407524	0.0192129	0.0216726	0.0438437	0.0424512	0.00737851	0.0424966	0.0305359	0.0272683	0.0015496	0.0264782	0.0277757	0.00303883	0.00237615	0.00503912	0.0042603	0.00266063	0.00363802	0.00383539	0.0272335	0.0032305	0.00771106	0.00205535	0.00561349	0	0.00317188	0.00307989	0.0260489	0.0232893	0.0391779
Naxi	0.0183146	0.0160071	0.00658117	0.0170072	0.0150571	0.0154732	0.0201827	0.0136563	0.0599011	0.0492511	0.0207449	0.0323846	0.0217519	0.0205659	0.0259421	0.0237397	0.0205605	0.0214815	0.0039958	0.00291013	0.00259954	0.0211466	0.036322	0.0155493	0.0177525	0.039603	0.0380919	0.00553401	0.0396837	0.0257673	0.0234261	0.00114674	0.0220631	0.0228787	0.00140404	0.00319375	0.00384259	0.00403405	0.00157098	0.00302711	0.00286722	0.0235776	0.00301191	0.00532378	0.00344685	0.00526198	0.00317188	0	0.00172443	0.0215356	0.0190032	0.0349859
Tu	0.017295	0.0153221	0.00476619	0.0157935	0.013497	0.0141324	0.0199846	0.0120649	0.0596557	0.0491684	0.0197101	0.0318651	0.0204365	0.0191899	0.0243057	0.0221062	0.0190353	0.0191364	0.0022316	0.00158858	0.00102818	0.0202486	0.0363623	0.0144273	0.0161261	0.0383361	0.0380604	0.00335696	0.0385293	0.0263996	0.0221532	0.000337324	0.0206332	0.020933	0.000324369	0.00208477	0.00328495	0.00235793	0.000513198	0.00168291	0.00134412	0.0220514	0.000196423	0.00446509	0.00342027	0.00463863	0.00307989	0.00172443	0	0.020079	0.0174876	0.034295
Basque	0.0055833	0.0045748	0.00826629	0.00526107	0.00553682	0.00483494	0.0123375	0.00667897	0.057574	0.048049	0.00117578	0.0424307	0.00378073	0.00467987	0.0360705	0.00237789	0.00378442	0.0329216	0.0205378	0.0235247	0.0236713	0.00271691	0.0524709	0.0275903	0.00233067	0.0352207	0.035112	0.0194659	0.037703	0.0405535	0.0350962	0.0230106	0.00167139	0.00150776	0.0228186	0.025835	0.0230505	0.0240689	0.0188115	0.0227343	0.021868	0.00769371	0.0229881	0.00690951	0.0252145	0.0252133	0.0260489	0.0215356	0.020079	0	0.00389509	0.0319086
